A,B,C,D,E,F,G,H,I,J,,,
0,0,0,1,1,0,1,0.0462004682,0.8293058081,0.1088613621,0.1037666756,0.3127554804,0.7884068252
1,0,1,0,1,1,1,0.2619095212,0.2961680368,0.8820696757,0.1987109110,0.0227143019,0.7416314059
0,1,1,1,1,1,1,0.4862749344,0.5333837247,0.9507856513,0.1289711827,0.7635092572,0.1954515595
1,0,0,0,0,1,0,0.1564785247,0.9630516386,0.4226437132,0.3927931064,0.9335190998,0.5791225452
0,0,0,1,1,1,1,0.1219712715,0.2971029021,0.0992767410,0.7209971258,0.9982231245,0.9711868353
0,1,1,1,1,1,1,0.3131023748,0.1584306075,0.8876647106,0.8065076363,0.1545662056,0.4158836696
1,1,0,0,1,0,0,0.5710888384,0.0956528126,0.0001813248,0.7353624296,0.9557816787,0.0643440038
0,1,1,1,0,0,0,0.4451439553,0.8324743491,0.6272873143,0.8065478406,0.2237204122,0.9275532793
1,1,1,1,0,1,0,0.5397481644,0.0563639193,0.8673352846,0.2822855380,0.7377684289,0.3017369634
0,1,0,0,0,0,0,0.4014843986,0.3479570919,0.1198172392,0.7938521756,0.3024575533,0.0113664628
0,0,1,1,1,1,1,0.7187633454,0.5019493205,0.2800261863,0.0642078170,0.9581629150,0.1614519116
0,1,0,1,0,0,1,0.5031755366,0.2220946620,0.2889438863,0.0174070643,0.5150475125,0.6189500438
1,1,0,1,1,1,1,0.2791769928,0.9156637685,0.5847222172,0.1166101815,0.5803524619,0.1600990263
1,0,1,0,0,1,1,0.3965963991,0.0038919379,0.8653994473,0.7814387488,0.3053006963,0.6210449873
0,1,1,0,1,0,1,0.8655321863,0.9291281318,0.9636172415,0.0838282784,0.1125722509,0.6952660377
1,1,1,0,0,0,0,0.3536536628,0.5627269670,0.1410900638,0.1481847172,0.3049770645,0.9829454632
1,1,1,0,0,1,1,0.8960073600,0.1251266543,0.5651956666,0.6147564943,0.0334154624,0.9441023269
0,0,1,1,0,0,0,0.6965524321,0.0242958483,0.1583573329,0.7236066880,0.3850955004,0.4770589173
1,0,1,0,0,1,1,0.2538529453,0.6494909963,0.8025281206,0.2963307067,0.2609119341,0.0256388374
1,0,0,1,1,0,1,0.0305205602,0.6325728074,0.3715621131,0.7057432635,0.2234250451,0.3558655130
0,0,0,1,1,0,0,0.6764980806,0.5436268528,0.0240535159,0.1573577402,0.7267971570,0.9306722097
1,1,1,0,1,1,0,0.8854735782,0.1207402525,0.1906120088,0.0852477495,0.1310820589,0.2506892299
1,1,0,0,0,1,1,0.6782614863,0.5926216464,0.5731422673,0.2997695073,0.5796590438,0.5283809667
0,0,1,1,1,0,1,0.9857380912,0.9033627375,0.5070630424,0.3192205145,0.3981579123,0.0343496334
0,0,0,1,0,0,0,0.8917555278,0.4517962825,0.5210956219,0.1641225112,0.5574048804,0.0360821364
1,0,1,1,0,1,1,0.2290292825,0.2988675330,0.5640182421,0.3328646710,0.7667427827,0.8925585691
0,0,0,1,0,0,0,0.5316324201,0.0053168414,0.5103683043,0.1889625061,0.4146204884,0.2032754435
0,0,1,1,1,0,0,0.7826440535,0.5755076897,0.0335083213,0.4703904744,0.9113786304,0.4428038816
0,0,1,1,0,1,0,0.3202813864,0.1682125283,0.5854518726,0.5538966423,0.3534135772,0.7933195764
1,0,0,0,0,0,0,0.7479195041,0.1224033823,0.1973422803,0.0122488141,0.8740482209,0.4952037921
0,0,1,1,0,0,1,0.7403880972,0.1159526245,0.8090694076,0.2837839550,0.6400559656,0.2303482951
1,1,1,0,1,1,1,0.5738311913,0.7855959125,0.6624761950,0.3940928029,0.7675966597,0.7878540163
0,0,1,1,1,1,0,0.6602374972,0.1495855059,0.6030638409,0.1412924021,0.2641764982,0.9920690185
0,0,0,1,0,1,0,0.2855497245,0.7293381197,0.4595530122,0.2525205221,0.4577977969,0.3486236995
0,1,1,0,1,1,1,0.9436483928,0.5215027346,0.4411183465,0.9391134172,0.8578597396,0.4584658570
0,1,1,0,1,1,0,0.3262020880,0.8992801192,0.0826797285,0.7513606856,0.2697690418,0.9492213423
1,1,0,0,1,0,0,0.1080534304,0.5794614572,0.3868533853,0.2297552121,0.7718986394,0.3465760048
1,1,0,1,1,1,1,0.6834754222,0.9035937921,0.7047428219,0.1451386586,0.4661881234,0.5460331528
0,1,0,0,1,0,1,0.6708688531,0.0417848956,0.1507261195,0.9043416278,0.2636004938,0.1743577984
0,1,0,1,1,0,1,0.9425725075,0.6254779315,0.2307125689,0.3844175511,0.8627903247,0.9155758265
1,1,1,1,1,1,0,0.5002531097,0.2227155869,0.8618086916,0.1739412523,0.7359506031,0.4789110683
0,1,1,1,1,0,0,0.0791402636,0.6319237039,0.2442840715,0.2446092819,0.8988261395,0.6717031067
1,0,1,1,0,1,0,0.2519673994,0.8949464406,0.5853388128,0.7712857123,0.8949470026,0.5249900348
1,0,0,1,0,1,1,0.8470593686,0.7542998623,0.8474704851,0.8310634512,0.6926826620,0.9546714379
0,0,0,1,1,1,0,0.5510350382,0.2625049716,0.9871759564,0.3020044602,0.6885904414,0.3817559346
1,1,0,1,1,0,1,0.6008088747,0.4510472133,0.9538626121,0.2256728988,0.0353026227,0.0133557641
1,1,1,0,1,1,0,0.8740015021,0.1702656620,0.7265988407,0.2733119759,0.5063778656,0.3639705842
1,1,0,0,0,0,1,0.0899614459,0.7718577008,0.2190845250,0.1884686253,0.3187195165,0.7839244986
0,1,1,0,1,1,1,0.8020409560,0.3494787361,0.3058987455,0.1120566325,0.5878764181,0.7773820264
1,1,0,0,1,1,1,0.4962610062,0.0659252377,0.3286276795,0.0007525296,0.4431749848,0.8115394986
0,1,1,0,1,1,0,0.6458821720,0.5884808870,0.0743143931,0.4696092629,0.1429661028,0.5976146962
1,1,0,0,0,1,1,0.3205107572,0.4039198752,0.1649239562,0.8809355265,0.3990126327,0.2418162841
1,1,0,1,0,1,1,0.7100781100,0.1389713087,0.1350340839,0.8828160637,0.2571965796,0.2998504206
1,0,1,1,0,1,0,0.7274535927,0.8211145839,0.2055163593,0.6439702488,0.7329882686,0.9115081760
1,1,0,1,0,0,0,0.9996081917,0.9133722903,0.9861281496,0.4040597794,0.4006437114,0.8265848178
1,0,1,0,0,1,0,0.5410611010,0.8922883435,0.6931192814,0.7379572978,0.6843784889,0.4680979373
0,1,1,0,0,0,1,0.9891022928,0.6409977232,0.2704297435,0.8054795982,0.1418073652,0.7716394830
0,0,1,0,1,1,0,0.0934602204,0.7246243777,0.3477627495,0.9547959543,0.5308076311,0.3550766734
1,0,0,0,1,0,0,0.6977556776,0.2493547266,0.4184753890,0.9076830079,0.7297031293,0.6592352488
0,1,1,1,1,0,0,0.0755954841,0.6890642052,0.9269655789,0.3631169782,0.6522746305,0.4801298748
1,1,1,0,1,1,0,0.2691577091,0.9892714187,0.3825030373,0.5679636109,0.3840570208,0.5714901933
0,1,0,0,0,1,0,0.0500701205,0.6845167973,0.2797726705,0.7798953573,0.6878482327,0.1862234613
0,1,1,1,1,1,1,0.3868037779,0.8612677101,0.7298306017,0.1979553602,0.8108002641,0.7573394515
1,1,0,0,1,1,0,0.2553621815,0.9048501463,0.5546230637,0.5110838641,0.4144738801,0.4877112885
0,0,1,0,1,1,0,0.3274630969,0.3809754751,0.4885869198,0.9463704797,0.0462905993,0.9714006330
0,0,1,0,1,0,0,0.5370192630,0.7939886581,0.7627984509,0.9903756422,0.3699474689,0.2006779439
1,0,1,1,0,0,1,0.0874087973,0.6098960494,0.0268918457,0.8826728174,0.1651198249,0.6647747145
0,0,1,1,0,0,1,0.9286402171,0.0630643247,0.7465587696,0.2346564080,0.1303909221,0.8097418407
1,0,0,0,0,0,1,0.9017846854,0.0629948745,0.1104163169,0.6868752362,0.2784871985,0.8210368492
0,0,0,0,1,1,1,0.9484236976,0.6881299112,0.1267509903,0.4030356547,0.0147319795,0.2584992731
1,1,0,0,0,0,1,0.1559785889,0.3823515116,0.1195863518,0.9301029490,0.3529742491,0.2413882231
0,0,1,0,0,0,0,0.2877892391,0.2397611113,0.5366644571,0.7892782106,0.4499656893,0.4747323999
1,0,0,1,1,0,1,0.7720485684,0.0635650479,0.4659985979,0.4800069295,0.9949062760,0.2896910128
0,1,1,0,1,1,0,0.0613596779,0.9059055811,0.1764771063,0.9525164957,0.2607137556,0.2741381074
1,1,1,1,1,1,1,0.6788550937,0.9644239275,0.2547871093,0.4890318867,0.7732008491,0.1222495525
1,1,1,1,0,0,0,0.9619613574,0.2819240638,0.3723855391,0.8313039294,0.8538918351,0.0862392369
1,1,0,0,0,1,0,0.0829624971,0.7090839054,0.2521022409,0.5192265296,0.9365550904,0.3652417660
0,0,0,1,0,1,1,0.0009254087,0.1168721616,0.4962104750,0.8242162708,0.4921987946,0.4122120929
1,0,1,1,1,0,0,0.1723146569,0.6385163786,0.2621815442,0.5325121176,0.4694849141,0.2617250974
0,1,1,0,1,1,0,0.1341566229,0.2794100046,0.1535164765,0.5267324583,0.2845641663,0.6883804621
0,0,0,0,0,1,1,0.8722776202,0.7756560515,0.9138032640,0.9595537377,0.1358609353,0.6704757405
0,0,0,0,0,0,1,0.1326309866,0.8732341896,0.2423365447,0.5058587552,0.8268901971,0.3000064944
1,0,1,0,0,1,1,0.1823008587,0.2557533220,0.0178678846,0.4454967552,0.6888956660,0.9302315880
0,0,0,1,0,0,1,0.5195344421,0.7136021303,0.1871075607,0.1737700123,0.0903500761,0.7714792923
1,0,0,1,1,0,1,0.1314416812,0.8827438434,0.0416170675,0.3801592346,0.8130713953,0.4056076109
1,0,1,0,0,1,1,0.6316884011,0.6816403898,0.0129769426,0.0466521685,0.4681507712,0.5071410229
0,0,0,1,1,0,1,0.0630987869,0.4963324657,0.8444742970,0.9073569565,0.7454008409,0.5368818077
1,0,0,0,1,0,1,0.8551400146,0.3639420792,0.7553718998,0.1471401742,0.1734934822,0.3649279410
0,1,1,1,1,0,1,0.1625802028,0.2516759746,0.0602916507,0.1738306624,0.5988505618,0.0734674525
0,1,0,0,0,0,0,0.1094072671,0.5521640298,0.6886524307,0.3551781257,0.5324262297,0.9532333002
0,0,1,0,0,0,0,0.6243815608,0.6986417775,0.9303777665,0.3716098801,0.1835494721,0.8892354658
1,0,1,0,0,1,0,0.4749445622,0.5420244648,0.3170020254,0.4266273594,0.3655183320,0.9026722074
1,1,0,0,0,1,1,0.1854505683,0.2241952964,0.3823826509,0.4755419367,0.9416637914,0.5682281437
1,1,0,0,1,0,1,0.9002803438,0.6696896697,0.5608018744,0.9596448815,0.6651523309,0.4100121455
0,0,1,1,1,1,1,0.8362142476,0.6619790215,0.9318917003,0.4830765566,0.4426968102,0.4971670560
0,0,1,0,0,0,1,0.0319107249,0.9912016965,0.1451499783,0.4869344020,0.2923974809,0.0027793604
1,0,0,1,1,0,0,0.4885373237,0.3060797597,0.9713889137,0.4504280845,0.2710594027,0.1330285817
1,1,1,1,1,0,0,0.8112095310,0.6782990312,0.8324027355,0.1149323597,0.3324643578,0.2460227986
1,0,0,1,0,1,0,0.4537176546,0.5573324556,0.7865802860,0.5124054304,0.3891530926,0.6516556079
1,1,1,1,1,0,1,0.9483252987,0.9644975704,0.6819913085,0.6834892016,0.6953569809,0.0608764156
0,1,0,0,1,1,0,0.1445137360,0.2083588713,0.8379127062,0.6342674261,0.5872389805,0.4495297568
1,1,1,0,0,1,1,0.5682333484,0.1932930779,0.6367922369,0.0939993123,0.7464615409,0.6387808817
1,1,1,1,0,0,1,0.5246910881,0.7636892931,0.9514240553,0.9365894222,0.8893715651,0.3183953683
1,1,0,1,1,0,1,0.8615038139,0.4039981593,0.5462470204,0.0816411935,0.2928380687,0.1215809388
0,1,0,1,0,0,1,0.2573094536,0.1817810978,0.8091584379,0.7298076134,0.1001834287,0.5659173806
1,0,1,1,0,0,1,0.1671141619,0.4062987091,0.7821043688,0.4272831553,0.7095437828,0.3142583384
1,1,1,1,0,1,1,0.2988161757,0.5982104377,0.0445074202,0.3127459944,0.2637388753,0.6769376956
0,0,0,0,0,1,1,0.3447013409,0.7182447999,0.3459535642,0.7276440524,0.7655753917,0.7519026832
0,0,0,0,1,1,1,0.6358542098,0.8516755421,0.4172026329,0.1956128106,0.8349499847,0.2308041789
0,1,0,0,0,0,0,0.4986289088,0.5593610443,0.1274824929,0.4298961102,0.2132380796,0.1451075003
0,0,0,0,0,0,1,0.1341001648,0.5576987742,0.2579890601,0.3815058782,0.8163086427,0.1894267886
0,1,0,1,1,1,0,0.0886872066,0.2667945409,0.9483081480,0.3512891354,0.0152234733,0.1710323342
0,1,1,1,1,1,1,0.8399298377,0.8810501350,0.5345189683,0.2821625452,0.1511420277,0.6042346079
1,1,1,1,1,0,1,0.3140269131,0.5345551600,0.2022215519,0.8774357773,0.3414236759,0.1068594111
0,0,0,1,0,1,0,0.0304505862,0.3142966498,0.3035158138,0.2564745662,0.6626081066,0.0513346088
0,0,1,1,1,1,1,0.1022889139,0.3866705494,0.1471157647,0.1025757082,0.6083833380,0.6072770352
0,1,0,0,0,0,0,0.0113095162,0.3657269208,0.8411949687,0.9132281733,0.7370302347,0.8648369419
0,0,1,1,0,0,0,0.8862550631,0.0643309024,0.5334797730,0.4430050291,0.1971305851,0.3638320728
1,1,0,1,1,1,1,0.2824949650,0.4083935842,0.7104058182,0.2121292977,0.1292239740,0.6580821257
0,0,0,1,0,1,0,0.1644654460,0.8290861924,0.4199965135,0.1831218996,0.8228821466,0.1499192654
1,0,0,1,1,1,1,0.4049293441,0.5302331909,0.0482164794,0.9600572633,0.8649749113,0.8832626068
1,1,1,0,1,1,1,0.8299058317,0.1257730271,0.8369658091,0.8373565986,0.0479568015,0.4106165906
0,0,1,0,1,1,0,0.8135549277,0.4706069580,0.3912253617,0.4285165044,0.9595197197,0.8354437645
0,1,0,0,1,0,0,0.1889912197,0.8809383535,0.7627399010,0.1061975057,0.2707196218,0.2926815972
1,1,0,1,0,1,1,0.3663606960,0.5939395046,0.2194823418,0.3511518887,0.0435564443,0.0699816989
0,0,1,0,1,1,0,0.1309303893,0.2870662939,0.3990964321,0.1245926605,0.4028960960,0.6781951045
1,0,1,1,1,0,1,0.9862917955,0.7911110898,0.2722965493,0.0455200817,0.8695084802,0.5000576824
1,1,1,0,1,0,0,0.8792648721,0.3994055833,0.4913472552,0.9323220416,0.0971101802,0.1524597751
1,1,0,1,0,0,1,0.8874950134,0.8875166648,0.6613664506,0.0234895153,0.1143074697,0.1693414766
1,1,0,1,1,1,0,0.8570500179,0.0660442323,0.4442618820,0.5175228398,0.9049171503,0.6060750620
1,1,0,1,0,0,0,0.0073462166,0.0326905008,0.0043255226,0.0388410962,0.6535561080,0.0574045982
1,1,1,0,0,0,0,0.9701934592,0.3614242258,0.8533803034,0.5888482686,0.1474503665,0.6814294229
1,0,0,0,0,0,1,0.5197153273,0.9388260236,0.7717413860,0.6834884132,0.1268286509,0.9494208512
1,0,1,1,0,0,0,0.2298389948,0.6859904262,0.5551824616,0.9604171454,0.1058882563,0.1415102235
0,1,1,1,0,0,1,0.9757616646,0.4948508013,0.5895945346,0.2887275498,0.2427385966,0.2743809135
0,0,1,0,0,1,0,0.8075996684,0.6823924663,0.5131987557,0.5421569948,0.5209599459,0.8102936996
0,1,0,0,0,0,0,0.3005327857,0.8907321561,0.5429642787,0.7772495821,0.3999187602,0.6499457080
1,1,1,1,1,1,1,0.9089145986,0.7096462450,0.1666694162,0.5119266086,0.5862621535,0.7351780785
1,1,1,0,0,0,1,0.4132461203,0.6940353457,0.1565571246,0.4851685590,0.8212884776,0.9519294971
0,0,0,0,0,1,0,0.8598698471,0.1829734668,0.3390838541,0.1232743827,0.7648439482,0.0232267762
0,0,1,0,1,0,1,0.7059343453,0.0233442243,0.1922036177,0.8545663492,0.6360195936,0.4584783297
1,1,0,0,0,1,1,0.0336344298,0.6597685409,0.9441544535,0.5123181390,0.9052060987,0.1339425277
1,1,0,0,0,1,1,0.7610953874,0.7640046235,0.3449252201,0.7383977766,0.4116665800,0.9641402801
1,1,1,0,1,0,1,0.7740544686,0.0284068561,0.6931996597,0.3240639428,0.4980031936,0.3075005673
1,1,0,1,1,0,0,0.8614302953,0.7114023524,0.7077222983,0.5957862232,0.4043494062,0.2470338638
0,0,0,1,0,1,1,0.4085351033,0.9301004908,0.2052200595,0.7541087647,0.2265535984,0.0744820382
0,0,1,1,1,1,1,0.1132632680,0.1946827164,0.4225732102,0.2441262668,0.5874790056,0.6752747204
1,0,0,1,1,0,1,0.5555729694,0.5797571503,0.7239378816,0.3315640576,0.2630823534,0.1055026511
1,0,0,0,1,0,0,0.0745895305,0.1473519253,0.1964704767,0.0032131593,0.9369480833,0.4435159829
1,0,0,1,1,0,0,0.7490584156,0.3290031073,0.6699919794,0.0557595221,0.8630655752,0.2491569282
0,1,1,1,1,0,1,0.2385956710,0.0813613720,0.8089942983,0.7525623040,0.5615480891,0.6770097818
1,0,1,0,1,1,1,0.2976941965,0.1725575426,0.1154847010,0.2195091965,0.9756833562,0.3321097018
1,0,1,0,1,0,0,0.0881048623,0.4935681233,0.6516883723,0.9366882131,0.0220399960,0.7081414065
1,0,0,0,0,0,1,0.9189598900,0.4016626193,0.4897069866,0.4569104533,0.7093869173,0.9401888619
0,0,1,1,1,0,1,0.4319011332,0.0972558041,0.1221305518,0.3008199502,0.2645287989,0.9702204224
0,1,0,1,1,1,1,0.6233494133,0.4491186738,0.5084258388,0.7501528617,0.2307061846,0.7325729500
0,0,1,1,1,1,0,0.3388371509,0.6181604876,0.3124027424,0.1401335080,0.3939508647,0.4098178265
1,0,1,1,1,0,0,0.5913569890,0.1923570489,0.8877944895,0.5468296306,0.0522844722,0.7886628611
0,1,1,0,0,1,1,0.3903833861,0.1751579726,0.3155448334,0.6223439872,0.8641299368,0.6658165441
0,0,1,1,1,0,1,0.6735881572,0.9909985275,0.7139852359,0.0016094842,0.1917313277,0.9405505573
0,1,1,0,1,1,0,0.7535206345,0.8651699759,0.3695477722,0.2257186463,0.8586172233,0.3499145322
1,1,1,1,1,0,0,0.5587164275,0.3629763774,0.7757118568,0.7757864739,0.5330898254,0.4017384066
1,1,0,0,1,1,1,0.8189390660,0.2204311835,0.8426237023,0.9532473539,0.8401777716,0.8520273631
0,0,0,1,1,0,0,0.2712167525,0.8829115853,0.6415218068,0.2516984325,0.6654957533,0.5125535163
1,0,0,0,1,1,1,0.9571025986,0.1421411429,0.3354769959,0.4429521472,0.7412231700,0.9294670667
1,0,0,1,0,0,0,0.4115610137,0.9167891173,0.8957714015,0.7865301347,0.0099424794,0.6184925106
0,1,1,1,1,1,0,0.5667583360,0.7588935811,0.4775783010,0.1346357586,0.8859840953,0.3555419389
0,1,0,0,0,0,1,0.8035195149,0.5462679588,0.1813519071,0.9763072417,0.6664636121,0.5711289672
1,0,1,0,1,0,0,0.8686424037,0.5267190351,0.5000338550,0.3446564279,0.4907634300,0.4266114561
1,1,0,0,0,1,1,0.4956906065,0.5507755862,0.7488768245,0.6397801992,0.1754234228,0.9738499182
1,0,0,0,1,0,0,0.9450367959,0.4469419327,0.3246503961,0.4823942115,0.7867168398,0.2758861152
1,0,1,1,0,0,0,0.3737398353,0.7965409202,0.5686645596,0.2530836584,0.3768423139,0.1681561130
1,1,1,0,0,0,1,0.9208924482,0.7059286875,0.3992542299,0.0516806119,0.3947599106,0.4735988174
1,1,0,0,0,0,1,0.8557804343,0.2589427605,0.9000995951,0.7788042882,0.3093167236,0.7658402286
0,1,0,1,1,0,1,0.5933407797,0.7651477875,0.1412949003,0.3518393799,0.8196140239,0.5136116100
0,1,1,0,0,1,1,0.6275896169,0.7957720710,0.4139057109,0.1523753372,0.4750240552,0.6890614680
1,0,0,0,1,1,1,0.1240153499,0.7302882918,0.3456071923,0.6536661694,0.7035213686,0.6083833748
1,0,0,0,1,0,0,0.3241905347,0.4008487035,0.8836144297,0.3907098337,0.9985665246,0.5241235881
0,1,0,0,0,0,0,0.9213605644,0.3379541398,0.2955185813,0.1407949887,0.6612669490,0.5433221138
1,1,0,0,1,0,1,0.2453043251,0.7528279028,0.7027280102,0.2935506781,0.4278668333,0.5148476036
1,0,1,0,1,1,1,0.1695110318,0.0478219707,0.5702400692,0.5949763628,0.2930337805,0.8851478356
1,0,0,1,1,0,0,0.0506754653,0.7016001167,0.7964286343,0.5200869679,0.6247920613,0.5317656039
1,1,0,1,1,0,1,0.8693995751,0.0069219959,0.0343908598,0.9912702362,0.0028402777,0.9970633355
1,1,1,1,0,1,1,0.1427247361,0.5227630599,0.1284574317,0.8714762246,0.5021889270,0.8565251851
1,0,1,0,1,0,1,0.7013728730,0.8850376201,0.5329739689,0.7298759143,0.2565911259,0.3580103740
1,1,1,0,1,1,0,0.7708703480,0.2183011323,0.6630961620,0.3660679003,0.5244075749,0.6294865068
0,0,0,0,0,0,0,0.7668521996,0.9399809381,0.6101228595,0.6624853783,0.5195515365,0.9296079800
1,0,0,0,0,1,0,0.7432885272,0.3945720061,0.5309480396,0.8574681226,0.6207158701,0.0099508837
1,1,1,1,1,0,0,0.8681612071,0.7338164286,0.1506772619,0.8172006044,0.8892332087,0.9163719318
1,1,0,1,0,0,0,0.1408777866,0.5580343697,0.9695331464,0.2100401255,0.2664349233,0.6723157382
0,1,0,0,0,1,1,0.0730223502,0.9859330645,0.5294875358,0.9105276596,0.5128156738,0.3041241923
0,1,1,1,1,1,0,0.5406389269,0.4281806289,0.7832830362,0.4151242822,0.2458845936,0.2125153467
1,0,1,0,1,0,0,0.6268224590,0.3746625008,0.3059560158,0.0861216271,0.3588591064,0.6033525378
0,0,1,1,0,1,1,0.8214989319,0.7949540191,0.4826086429,0.7441554833,0.8417971656,0.8337732623
1,1,1,1,0,1,1,0.5929751033,0.9137472333,0.7019516849,0.1377205714,0.1234824043,0.9393413756
1,1,1,0,1,0,1,0.8724326757,0.0055285608,0.7890748270,0.6657049153,0.1243393696,0.8069978510
0,1,0,0,0,1,1,0.2563886754,0.9499021075,0.9298588159,0.5458059697,0.2706507850,0.1838798421
0,0,0,1,0,1,0,0.7721980982,0.8502306119,0.6904652277,0.1816152688,0.4137799623,0.9176541995
1,0,0,1,0,0,0,0.7239165734,0.7985960566,0.1247536228,0.7265772261,0.3270128262,0.1561707747
1,1,1,1,0,0,1,0.5617293133,0.2853941987,0.7233589524,0.4105216111,0.4637777559,0.8571184804
0,0,0,1,1,1,1,0.4002918447,0.1885073893,0.2994964211,0.9838279770,0.7108332925,0.1495210091
1,0,1,0,1,0,0,0.9163015676,0.2286809180,0.6710116849,0.0128897927,0.7154086740,0.3193011368
1,0,0,1,0,1,0,0.9152808255,0.7641576943,0.6731386655,0.6494470113,0.8743866528,0.4011321058
1,1,0,0,0,0,0,0.7455064184,0.1597797824,0.8338147285,0.6656538593,0.2618192732,0.2515478209
0,1,0,0,0,1,1,0.7534843953,0.1824442619,0.1216164334,0.0335834795,0.8310646527,0.7438876135
1,1,1,1,1,0,1,0.2730367715,0.8986564549,0.1048859875,0.3977723136,0.4618181512,0.5072211004
1,0,1,1,0,0,0,0.9186829412,0.1467717253,0.5215200507,0.7504335144,0.2067234870,0.0221969653
1,1,0,0,0,0,0,0.7928966614,0.4585379758,0.7714710380,0.3680788404,0.7531841276,0.8257181607
1,1,1,1,0,1,1,0.1879130821,0.6134736622,0.6372482590,0.1633088812,0.2890458782,0.1348458361
1,1,1,1,1,1,1,0.3480289136,0.1696901293,0.0018092659,0.6491016205,0.2633741978,0.2464588010
0,0,1,0,1,1,0,0.3968750220,0.4024710823,0.8260381296,0.3929611347,0.0553206969,0.5670337952
1,0,1,0,1,0,0,0.7705064691,0.4480130360,0.4550438505,0.7169690854,0.0227728975,0.3455320485
1,1,1,1,1,0,0,0.3669139370,0.2702817237,0.0069754664,0.4188279090,0.8129075649,0.7401293335
1,1,1,1,1,1,0,0.0701834592,0.3209301070,0.6603430561,0.6341923941,0.6857203422,0.9464338752
0,1,1,1,0,1,1,0.1235994832,0.5086691668,0.2075447291,0.3584443955,0.7421566742,0.8647940108
1,0,1,1,0,0,1,0.7507677451,0.9313963093,0.3361852597,0.6250316259,0.3023979920,0.1930436925
1,0,1,1,1,1,0,0.7759592254,0.9736440922,0.3789795572,0.2105872417,0.7143938723,0.8891788651
0,0,1,0,0,1,0,0.1574299266,0.7952139764,0.3870688984,0.3558846996,0.3167738770,0.4343228051
1,0,0,1,0,0,1,0.4174207719,0.8427955019,0.3575820629,0.2952331840,0.6517799441,0.6424667379
0,0,0,1,0,1,0,0.3251726534,0.2124387287,0.2024446032,0.7889357130,0.4421895333,0.2135793036
0,0,1,1,0,0,1,0.8519063927,0.9908913984,0.3230582806,0.7316649379,0.7064882396,0.3475683085
0,1,1,0,0,1,0,0.2963121412,0.8553851186,0.4189047823,0.5649633515,0.7594502796,0.9081286974
0,0,0,1,1,1,1,0.3275581454,0.1510101580,0.7837828607,0.4711198462,0.6070142831,0.3608442289
1,1,0,0,1,0,0,0.9107022644,0.3418891341,0.2055848269,0.9334906349,0.9766066945,0.1889407290
0,0,1,1,0,0,0,0.3111672592,0.1067366195,0.2688134229,0.4761031573,0.5489931768,0.9226716692
1,1,1,1,0,0,1,0.9575934196,0.1744762566,0.8612311459,0.9675585711,0.5532308645,0.3077117708
1,1,1,0,1,0,1,0.8406919879,0.9089437085,0.1790796355,0.2789712762,0.3343227962,0.2577680959
1,0,1,0,0,1,1,0.7652254933,0.5825003129,0.0485849562,0.8229833152,0.9035624419,0.2910356233
1,1,0,1,0,1,1,0.7682024320,0.7233374366,0.1489622267,0.7841219022,0.2434644047,0.2080673086
